sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
1,true,1,Int64[],Complex[],Complex[1 + 0im],"Complex[1 + 0im, 0 + 1im, 0 - 1im, -1 + 0im]","(4,)"
2,true,,[2],"Complex[1 + 1im, 1 - 1im]","Complex[1 + 1im, 1 - 1im]","Complex[1 + 1im, 1 - 1im, -1 + 1im, -1 - 1im]","(4,)"
3,true,3,[3],Complex[3 + 0im],Complex[3 + 0im],"Complex[3 + 0im, 0 + 3im, 0 - 3im, -3 + 0im]","(4,)"
4,false,,"[2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[0 + 2im, 0 - 2im, 2 + 0im]","Complex[0 + 2im, 0 - 2im, 2 + 0im, -2 + 0im]","(4,)"
5,true,1,[5],"Complex[2 + 1im, 2 - 1im]","Complex[2 + 1im, 2 - 1im]","Complex[2 + 1im, 2 - 1im, -1 + 2im, 1 + 2im, 1 - 2im, -1 - 2im, -2 - 1im, -2 + 1im]","(8,)"
6,false,,"[2, 3]","Complex[1 + 1im, 1 - 1im, 3 + 0im]",Complex[],Any[],"(0,)"
7,true,3,[7],Complex[7 + 0im],Complex[7 + 0im],"Complex[7 + 0im, 0 + 7im, 0 - 7im, -7 + 0im]","(4,)"
8,false,,"[2, 2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[-2 + 2im, -2 - 2im, 2 + 2im, 2 - 2im]","Complex[-2 + 2im, -2 - 2im, 2 + 2im, 2 - 2im]","(4,)"
9,false,1,"[3, 3]","Complex[3 + 0im, 3 + 0im]",Complex[3 + 0im],"Complex[3 + 0im, 0 + 3im, 0 - 3im, -3 + 0im]","(4,)"
10,false,,"[2, 5]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im]","Complex[1 + 3im, 1 - 3im, 2 + 0im, 5 + 0im]","Complex[1 + 3im, 1 - 3im, 2 + 0im, 5 + 0im, -3 + 1im, 3 + 1im, 0 + 2im, 0 + 5im, 3 - 1im, -3 - 1im, 0 - 2im, 0 - 5im, -1 - 3im, -1 + 3im, -2 + 0im, -5 + 0im]","(16,)"
11,true,3,[11],Complex[11 + 0im],Complex[11 + 0im],"Complex[11 + 0im, 0 + 11im, 0 - 11im, -11 + 0im]","(4,)"
12,false,,"[2, 2, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im]",Complex[],Any[],"(0,)"
13,true,1,[13],"Complex[3 + 2im, 3 - 2im]","Complex[3 + 2im, 3 - 2im]","Complex[3 + 2im, 3 - 2im, -2 + 3im, 2 + 3im, 2 - 3im, -2 - 3im, -3 - 2im, -3 + 2im]","(8,)"
14,false,,"[2, 7]","Complex[1 + 1im, 1 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
15,false,3,"[3, 5]","Complex[3 + 0im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
16,false,,"[2, 2, 2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[-4 + 0im, 4 + 0im]","Complex[-4 + 0im, 4 + 0im, 0 - 4im, 0 + 4im]","(4,)"
17,true,1,[17],"Complex[1 + 4im, 1 - 4im]","Complex[1 + 4im, 1 - 4im]","Complex[1 + 4im, 1 - 4im, -4 + 1im, 4 + 1im, 4 - 1im, -4 - 1im, -1 - 4im, -1 + 4im]","(8,)"
18,false,,"[2, 3, 3]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im]","Complex[3 + 3im, 3 - 3im, 2 + 0im, 9 + 0im]","Complex[3 + 3im, 3 - 3im, 2 + 0im, 9 + 0im, -3 + 3im, 0 + 2im, 0 + 9im, -3 - 3im, 0 - 2im, 0 - 9im, -2 + 0im, -9 + 0im]","(12,)"
19,true,3,[19],Complex[19 + 0im],Complex[19 + 0im],"Complex[19 + 0im, 0 + 19im, 0 - 19im, -19 + 0im]","(4,)"
